remaining_hours,created_hours_ago,distance_km,travel_hours,slack_hours,feasibility_ratio,perishability_risk,ideal_window,service_value,estimated_meals,quantity_confidence,demand_pressure,nearby_density,type_density,ngo_success_rate,ngo_open_load,ngo_performance,ngo_verified,donor_reliability,target_priority,pickup_success_probability
2.17,3.13,0.03,0.0,1.46,6.2,0.82,4.0,1.0,130.06,0.88,0.687,12,7,0.487,0.664,0.592,1.0,0.768,76.7,0.668
6.45,2.19,12.55,0.53,5.51,7.33,0.58,6.0,0.88,120.36,0.72,0.761,6,10,0.752,0.406,0.884,1.0,0.531,51.3,0.522
4.6,2.95,3.85,0.17,3.41,8.85,0.58,6.0,0.88,143.69,0.63,0.131,17,11,0.785,0.335,0.875,0.0,0.774,54.3,0.417
0.59,2.17,11.0,0.43,-0.48,0.76,1.0,2.0,0.95,159.73,0.81,0.732,13,8,0.662,0.148,0.799,0.0,0.84,62.2,0.472
0.91,2.23,15.27,0.68,-0.7,0.88,0.35,8.0,0.55,120.83,0.99,0.616,15,10,0.882,0.892,0.648,1.0,0.915,43.7,0.346
7.23,5.55,4.99,0.19,6.38,13.39,0.58,6.0,0.88,44.59,0.75,0.728,8,5,0.628,0.893,0.447,0.0,0.496,41.8,0.343
2.49,0.76,8.39,0.45,1.08,3.11,1.0,2.0,0.95,71.33,0.9,0.949,1,10,0.652,0.006,0.604,1.0,0.888,75.2,0.679
3.84,1.24,8.74,0.4,2.62,5.12,0.82,4.0,1.0,144.07,0.88,0.848,5,10,0.733,0.907,0.743,0.0,0.403,52.7,0.403
0.71,1.7,3.81,0.18,-0.37,1.34,0.82,4.0,1.0,69.48,0.89,0.84,9,2,0.699,0.749,0.43,1.0,0.491,60.5,0.512
4.23,2.09,3.59,0.2,3.65,7.69,1.0,2.0,0.95,24.47,0.85,0.586,7,8,0.821,0.767,0.497,0.0,0.84,52.4,0.384
5.13,1.29,16.34,0.75,3.33,4.66,1.0,2.0,0.95,37.3,0.82,0.839,8,2,0.82,0.302,0.797,0.0,0.852,59.0,0.428
7.73,0.65,11.66,0.64,6.48,7.81,0.35,8.0,0.55,89.26,0.75,0.394,15,12,0.531,0.176,0.703,1.0,0.738,47.1,0.566
5.21,6.45,4.83,0.18,4.07,9.83,0.35,8.0,0.55,17.43,0.95,0.282,15,10,0.773,0.379,0.417,1.0,0.465,43.0,0.509
2.91,3.95,15.84,0.67,1.55,2.85,0.58,6.0,0.88,36.01,0.66,0.436,18,4,0.816,0.646,0.685,0.0,0.409,49.6,0.394
6.43,2.47,9.96,0.46,4.87,7.94,0.58,6.0,0.88,99.97,0.71,0.481,10,5,0.572,0.721,0.583,0.0,0.471,48.9,0.339
9.32,5.5,5.33,0.25,8.56,15.53,0.58,6.0,0.88,128.03,0.61,0.093,2,9,0.605,0.944,0.77,1.0,0.415,32.1,0.337
5.26,1.66,0.92,0.03,4.57,13.84,0.35,8.0,0.55,148.34,0.73,0.12,2,3,0.529,0.563,0.576,0.0,0.425,49.3,0.392
5.9,1.7,16.35,0.78,4.37,5.22,0.82,4.0,1.0,78.33,0.81,0.107,4,4,0.782,0.265,0.447,0.0,0.46,45.1,0.334
8.04,4.16,0.59,0.03,7.52,21.16,0.35,8.0,0.55,155.01,0.58,0.272,9,11,0.763,0.804,0.515,0.0,0.693,41.5,0.391
0.86,0.77,5.54,0.22,-0.09,1.51,0.82,4.0,1.0,53.37,0.61,0.704,13,5,0.715,0.494,0.447,0.0,0.91,62.9,0.484
0.82,2.12,15.05,0.63,-0.87,0.84,1.0,2.0,0.95,179.92,0.85,0.306,2,3,0.699,0.652,0.931,0.0,0.978,57.0,0.348
2.77,0.93,5.78,0.3,2.08,4.26,1.0,2.0,0.95,75.27,0.77,0.679,13,9,0.469,0.088,0.546,0.0,0.961,64.8,0.541
3.74,1.22,7.44,0.37,2.81,5.19,1.0,2.0,0.95,136.65,0.83,0.772,7,5,0.741,0.928,0.654,1.0,0.426,59.2,0.501
5.42,1.4,0.25,0.01,4.97,15.06,0.82,4.0,1.0,151.77,0.6,0.95,5,8,0.944,0.292,0.809,1.0,0.876,75.9,0.632
3.09,4.06,9.15,0.34,1.77,4.48,0.82,4.0,1.0,51.17,0.91,0.444,17,5,0.885,0.283,0.573,1.0,0.895,64.3,0.611
5.4,3.61,8.2,0.39,4.6,7.3,0.58,6.0,0.88,126.15,0.81,0.272,14,1,0.619,0.473,0.93,1.0,0.593,57.9,0.579
3.89,0.21,9.04,0.38,2.52,5.33,0.82,4.0,1.0,157.61,0.75,0.55,15,1,0.833,0.41,0.78,0.0,0.397,67.1,0.445
7.6,7.5,15.34,0.58,6.45,8.17,0.35,8.0,0.55,58.37,0.87,0.771,18,1,0.777,0.235,0.797,1.0,0.978,53.3,0.567
4.27,1.56,1.81,0.09,3.68,9.7,1.0,2.0,0.95,7.15,0.7,0.103,12,6,0.678,0.244,0.639,0.0,0.457,46.5,0.446
3.91,2.59,4.18,0.17,3.1,7.52,0.82,4.0,1.0,120.7,0.95,0.492,10,11,0.74,0.074,0.948,1.0,0.753,67.8,0.608
2.17,2.57,8.7,0.43,1.0,2.78,0.58,6.0,0.88,104.32,1.0,0.33,13,5,0.454,0.865,0.851,0.0,0.924,59.5,0.475
7.45,1.56,14.43,0.71,6.33,7.03,0.58,6.0,0.88,46.61,0.89,0.779,5,11,0.501,0.627,0.423,1.0,0.371,42.3,0.393
3.34,2.77,3.61,0.14,2.21,6.82,0.58,6.0,0.88,67.12,0.78,0.309,6,5,0.934,0.944,0.961,1.0,0.82,52.5,0.441
1.07,2.13,15.48,0.61,-0.62,1.11,1.0,2.0,0.95,174.17,0.91,0.397,13,1,0.59,0.124,0.614,1.0,0.718,63.7,0.565
3.83,1.06,11.15,0.41,2.89,5.04,1.0,2.0,0.95,110.59,0.84,0.654,15,12,0.61,0.408,0.481,0.0,0.542,58.2,0.396
3.13,1.66,17.09,0.68,1.74,3.04,0.82,4.0,1.0,106.55,0.88,0.891,4,8,0.776,0.939,0.562,1.0,0.487,53.5,0.434
1.26,4.54,9.8,0.35,0.36,1.8,0.58,6.0,0.88,72.87,0.64,0.166,15,2,0.801,0.642,0.746,0.0,0.382,59.0,0.471
0.84,3.38,3.73,0.19,-0.34,1.56,0.82,4.0,1.0,60.48,0.62,0.906,1,5,0.905,0.145,0.475,1.0,0.853,61.0,0.598
0.46,3.49,4.28,0.2,-0.14,0.84,0.82,4.0,1.0,11.33,0.88,0.55,3,8,0.688,0.362,0.744,1.0,0.667,60.9,0.494
4.54,6.36,1.09,0.05,3.9,11.35,0.58,6.0,0.88,124.13,0.77,0.914,3,2,0.621,0.148,0.473,1.0,0.59,64.1,0.576
1.46,6.19,15.35,0.63,-0.07,1.49,0.35,8.0,0.55,130.31,0.65,0.479,8,7,0.63,0.453,0.641,0.0,0.547,39.1,0.314
5.26,2.11,1.64,0.09,4.55,11.95,0.82,4.0,1.0,134.54,0.72,0.174,2,10,0.957,0.562,0.789,1.0,0.573,63.3,0.585
5.34,1.34,6.33,0.27,4.64,8.61,1.0,2.0,0.95,118.9,0.65,0.153,18,6,0.511,0.279,0.531,1.0,0.882,62.0,0.64
3.49,1.46,12.48,0.68,2.33,3.39,1.0,2.0,0.95,137.71,0.96,0.383,6,3,0.75,0.401,0.482,0.0,0.408,58.1,0.419
4.15,3.29,12.99,0.5,2.92,4.88,0.35,8.0,0.55,17.12,0.57,0.2,2,11,0.493,0.443,0.646,1.0,0.611,38.7,0.46
4.28,1.91,12.21,0.53,2.93,4.86,0.58,6.0,0.88,10.08,0.73,0.619,1,4,0.61,0.211,0.48,1.0,0.532,43.1,0.495
2.31,3.38,12.67,0.55,0.8,2.57,0.35,8.0,0.55,145.5,0.58,0.869,2,7,0.46,0.921,0.9,1.0,0.711,48.9,0.455
2.44,2.13,3.09,0.11,1.69,5.3,1.0,2.0,0.95,124.75,0.71,0.465,4,4,0.681,0.4,0.446,1.0,0.82,70.1,0.655
2.98,0.3,9.18,0.34,2.09,4.32,1.0,2.0,0.95,131.47,0.92,0.824,8,2,0.528,0.197,0.749,0.0,0.462,67.3,0.499
7.94,7.77,11.57,0.42,7.0,10.31,0.35,8.0,0.55,174.83,0.69,0.468,16,8,0.785,0.796,0.743,1.0,0.67,42.4,0.439
2.25,0.67,11.6,0.42,1.5,2.92,1.0,2.0,0.95,107.75,0.72,0.601,2,8,0.932,0.572,0.509,1.0,0.666,72.6,0.597
9.34,0.6,11.63,0.63,7.86,9.53,0.58,6.0,0.88,178.4,0.79,0.629,12,6,0.937,0.387,0.849,0.0,0.847,53.7,0.399
3.22,0.88,4.54,0.17,1.98,6.19,1.0,2.0,0.95,109.28,0.62,0.127,5,6,0.614,0.656,0.784,0.0,0.725,63.5,0.435
7.52,2.92,2.3,0.09,6.37,17.09,0.35,8.0,0.55,179.5,0.96,0.139,14,9,0.642,0.363,0.505,0.0,0.565,48.1,0.368
1.46,1.34,14.19,0.61,0.14,1.52,0.82,4.0,1.0,133.48,0.79,0.679,5,10,0.65,0.162,0.882,0.0,0.804,64.7,0.503
7.28,2.71,13.54,0.52,6.31,8.37,0.82,4.0,1.0,44.57,0.98,0.795,7,6,0.81,0.57,0.656,1.0,0.84,55.9,0.532
6.19,3.54,2.49,0.12,5.27,13.17,0.82,4.0,1.0,157.59,0.8,0.147,17,2,0.601,0.763,0.558,0.0,0.874,56.6,0.478
10.21,8.19,7.47,0.34,9.3,14.8,0.35,8.0,0.55,70.74,0.59,0.263,11,2,0.895,0.65,0.859,0.0,0.374,44.3,0.341
5.78,2.09,11.08,0.41,5.1,7.61,0.82,4.0,1.0,40.39,0.62,0.943,17,7,0.509,0.288,0.575,0.0,0.5,54.7,0.452
0.92,2.0,10.74,0.59,-0.36,0.98,1.0,2.0,0.95,45.06,0.61,0.458,12,4,0.752,0.187,0.788,1.0,0.393,56.4,0.49
2.36,1.06,11.44,0.41,1.48,3.11,1.0,2.0,0.95,4.89,0.9,0.378,4,10,0.84,0.333,0.426,1.0,0.863,54.5,0.594
11.29,4.24,3.28,0.17,10.26,21.71,0.35,8.0,0.55,169.96,0.57,0.242,7,1,0.617,0.31,0.631,1.0,0.51,48.3,0.47
8.24,0.36,11.8,0.57,6.74,8.96,0.58,6.0,0.88,79.78,0.73,0.468,13,6,0.966,0.496,0.689,1.0,0.855,52.8,0.486
4.25,1.45,1.44,0.06,3.68,10.37,0.82,4.0,1.0,109.27,0.74,0.705,12,8,0.472,0.87,0.604,1.0,0.523,61.7,0.566
3.81,0.92,9.24,0.36,3.06,5.37,1.0,2.0,0.95,7.54,0.93,0.694,15,1,0.517,0.236,0.774,1.0,0.591,56.3,0.57
10.93,3.31,13.74,0.58,9.65,11.75,0.35,8.0,0.55,72.85,0.84,0.287,4,1,0.84,0.499,0.624,0.0,0.515,36.8,0.33
6.7,6.59,3.6,0.19,6.2,12.41,0.58,6.0,0.88,32.73,0.87,0.997,11,11,0.634,0.065,0.714,1.0,0.886,59.5,0.663
6.02,2.26,2.18,0.11,5.54,13.09,0.82,4.0,1.0,142.69,0.56,0.576,12,8,0.876,0.552,0.755,0.0,0.391,60.0,0.452
6.21,6.78,14.82,0.79,4.34,5.45,0.35,8.0,0.55,116.34,0.75,0.696,12,3,0.915,0.78,0.771,0.0,0.834,44.3,0.368
4.63,1.16,5.47,0.28,3.31,7.35,1.0,2.0,0.95,42.13,0.98,0.543,10,2,0.583,0.635,0.719,0.0,0.744,60.2,0.398
4.58,2.58,3.08,0.13,3.43,9.54,0.82,4.0,1.0,62.1,0.97,0.089,1,2,0.474,0.641,0.735,0.0,0.833,56.7,0.454
10.26,4.82,11.55,0.55,9.25,11.4,0.35,8.0,0.55,145.71,0.73,0.481,2,3,0.683,0.484,0.518,0.0,0.547,39.8,0.383
9.27,0.91,6.67,0.28,8.47,14.71,0.58,6.0,0.88,85.03,0.67,0.286,4,1,0.604,0.384,0.757,0.0,0.956,53.6,0.497
2.09,1.09,17.93,0.79,0.3,1.83,0.58,6.0,0.88,90.53,0.59,0.424,15,4,0.564,0.353,0.429,1.0,0.726,60.1,0.594
5.26,5.6,7.76,0.29,4.1,8.22,0.58,6.0,0.88,137.97,0.71,0.431,18,4,0.642,0.289,0.624,1.0,0.832,53.7,0.618
1.01,0.26,6.72,0.24,0.05,1.71,1.0,2.0,0.95,67.08,0.61,0.622,13,9,0.471,0.039,0.814,1.0,0.677,69.2,0.689
2.69,2.72,2.93,0.1,1.71,5.98,0.82,4.0,1.0,55.26,0.7,0.837,18,8,0.826,0.3,0.873,1.0,0.559,67.5,0.588
7.64,4.8,12.38,0.68,6.31,7.42,0.58,6.0,0.88,174.14,0.9,0.787,8,12,0.477,0.48,0.704,1.0,0.443,51.5,0.443
1.33,1.0,7.54,0.34,0.57,1.93,1.0,2.0,0.95,91.32,0.83,0.498,2,12,0.523,0.207,0.589,1.0,0.681,66.8,0.575
5.35,4.48,15.62,0.63,3.79,5.46,0.58,6.0,0.88,49.06,0.77,0.959,9,9,0.608,0.941,0.97,1.0,0.794,47.5,0.462
4.24,8.22,14.32,0.69,3.2,4.08,0.35,8.0,0.55,122.44,0.72,0.981,12,3,0.604,0.288,0.814,1.0,0.932,56.9,0.611
1.79,2.39,16.79,0.67,0.75,1.75,0.82,4.0,1.0,111.59,0.81,0.28,17,4,0.788,0.052,0.64,1.0,0.413,68.5,0.557
3.26,4.12,15.81,0.69,2.15,3.13,0.82,4.0,1.0,173.58,0.69,0.664,3,11,0.754,0.535,0.819,0.0,0.925,59.8,0.515
7.03,0.21,15.05,0.58,6.04,7.56,0.82,4.0,1.0,135.32,0.94,0.325,2,1,0.608,0.603,0.939,1.0,0.529,60.3,0.539
10.27,1.22,9.08,0.44,8.89,13.0,0.35,8.0,0.55,60.86,0.88,0.666,6,1,0.84,0.791,0.729,0.0,0.461,46.1,0.393
6.1,0.81,12.05,0.61,5.12,6.35,0.35,8.0,0.55,59.6,0.66,0.298,8,8,0.849,0.954,0.575,0.0,0.515,31.6,0.236
2.75,0.39,12.35,0.45,1.3,3.44,1.0,2.0,0.95,139.03,0.86,0.657,10,6,0.776,0.219,0.477,0.0,0.637,68.1,0.5
8.79,7.07,14.86,0.58,7.38,9.45,0.35,8.0,0.55,108.05,0.9,0.549,17,12,0.642,0.917,0.465,0.0,0.711,29.0,0.255
1.65,1.85,10.5,0.56,0.41,1.81,0.35,8.0,0.55,145.95,0.75,0.538,15,10,0.481,0.462,0.868,0.0,0.599,58.7,0.475
0.58,0.79,1.15,0.04,-0.5,1.49,1.0,2.0,0.95,14.29,0.97,0.08,14,3,0.858,0.766,0.967,1.0,0.586,62.8,0.447
4.54,6.02,11.91,0.51,3.22,5.28,0.35,8.0,0.55,63.9,0.63,0.56,17,3,0.836,0.223,0.402,0.0,0.966,49.5,0.484
6.28,7.25,4.46,0.21,5.59,11.21,0.35,8.0,0.55,168.86,0.88,0.157,14,10,0.856,0.884,0.409,0.0,0.392,37.6,0.286
1.61,0.15,7.9,0.34,0.38,2.33,1.0,2.0,0.95,140.14,0.61,0.994,8,12,0.755,0.577,0.848,1.0,0.499,74.8,0.657
3.31,1.25,10.02,0.42,2.02,4.3,0.82,4.0,1.0,33.17,0.86,0.578,2,6,0.949,0.671,0.856,1.0,0.789,60.1,0.522
5.74,2.11,15.29,0.73,4.16,5.31,0.82,4.0,1.0,145.43,0.96,0.584,14,9,0.731,0.388,0.548,1.0,0.757,62.8,0.626
3.11,1.83,0.93,0.04,2.31,7.97,1.0,2.0,0.95,9.04,0.58,0.814,18,4,0.704,0.869,0.593,0.0,0.483,48.5,0.379
10.55,6.14,12.67,0.58,9.52,11.34,0.35,8.0,0.55,59.25,0.68,0.493,12,5,0.589,0.513,0.688,0.0,0.856,41.4,0.415
8.72,2.48,7.45,0.32,7.96,13.01,0.58,6.0,0.88,27.97,0.67,0.938,14,5,0.531,0.33,0.62,0.0,0.665,48.8,0.442
7.33,3.25,13.02,0.51,6.18,8.52,0.58,6.0,0.88,132.43,0.71,0.183,18,8,0.548,0.889,0.974,0.0,0.68,41.5,0.281
4.29,0.94,15.17,0.75,2.69,3.9,1.0,2.0,0.95,3.63,0.78,0.405,16,11,0.709,0.007,0.72,0.0,0.361,46.2,0.42
0.51,5.38,12.13,0.47,-0.98,0.62,0.58,6.0,0.88,21.05,0.59,0.191,7,10,0.729,0.815,0.555,1.0,0.4,41.8,0.257
7.43,1.03,12.31,0.46,6.16,9.17,0.82,4.0,1.0,154.76,0.89,0.139,13,7,0.743,0.056,0.405,0.0,0.402,54.6,0.47
5.53,5.67,1.72,0.07,5.17,13.17,0.58,6.0,0.88,39.63,0.94,0.893,16,5,0.475,0.074,0.937,0.0,0.463,60.4,0.423
4.55,3.32,12.83,0.58,3.65,4.89,0.82,4.0,1.0,30.92,0.66,0.843,13,11,0.925,0.332,0.838,0.0,0.848,60.9,0.438
0.84,2.91,15.1,0.71,-0.77,0.79,0.58,6.0,0.88,171.96,0.73,0.785,1,11,0.595,0.993,0.685,1.0,0.698,42.7,0.268
1.31,5.46,14.36,0.57,0.42,1.42,0.35,8.0,0.55,29.45,0.87,0.652,13,6,0.641,0.092,0.947,1.0,0.577,56.8,0.528
3.43,2.47,9.22,0.48,2.62,4.13,0.82,4.0,1.0,100.65,0.82,0.795,13,1,0.605,0.388,0.449,0.0,0.71,62.8,0.466
2.27,1.22,2.63,0.13,1.66,4.73,0.82,4.0,1.0,55.36,0.9,0.393,8,12,0.781,0.594,0.513,0.0,0.435,65.0,0.435
9.32,2.93,6.03,0.23,8.11,16.07,0.35,8.0,0.55,175.41,0.61,0.355,7,8,0.617,0.965,0.962,1.0,0.813,38.2,0.477
2.68,1.27,14.15,0.65,0.99,2.68,0.82,4.0,1.0,37.56,1.0,0.221,18,1,0.955,0.462,0.811,1.0,0.853,68.8,0.56
7.85,1.27,5.45,0.27,7.2,12.66,0.35,8.0,0.55,77.32,0.72,0.477,16,10,0.662,0.507,0.934,1.0,0.692,49.4,0.49
0.91,0.58,11.96,0.61,-0.47,0.95,1.0,2.0,0.95,102.25,0.84,0.664,11,7,0.506,0.099,0.529,0.0,0.631,55.9,0.43
2.82,0.16,1.88,0.08,1.67,6.56,0.82,4.0,1.0,22.66,0.97,0.185,10,6,0.691,0.207,0.68,1.0,0.412,62.5,0.568
1.9,1.79,2.07,0.08,1.02,4.42,1.0,2.0,0.95,122.53,0.62,0.985,8,9,0.542,0.16,0.725,1.0,0.496,77.5,0.615
4.76,6.5,15.9,0.71,3.43,4.49,0.35,8.0,0.55,2.79,0.65,0.314,3,10,0.504,0.872,0.508,1.0,0.474,25.1,0.364
6.23,5.64,10.75,0.45,5.03,7.79,0.35,8.0,0.55,63.93,0.93,0.636,10,10,0.763,0.672,0.582,0.0,0.542,40.9,0.363
5.01,1.26,6.91,0.35,3.87,7.16,0.35,8.0,0.55,125.43,0.84,1.0,18,3,0.71,0.14,0.582,1.0,0.74,58.9,0.644
1.87,7.18,17.35,0.75,0.45,1.7,0.35,8.0,0.55,123.88,0.74,0.848,16,3,0.494,0.031,0.841,1.0,0.371,54.8,0.528
6.66,6.81,8.92,0.39,5.53,9.0,0.35,8.0,0.55,49.68,0.79,0.991,18,1,0.853,0.441,0.527,1.0,0.415,53.6,0.54
8.35,0.26,4.73,0.18,7.85,15.75,0.58,6.0,0.88,156.02,0.6,0.821,7,12,0.762,0.351,0.812,1.0,0.455,50.7,0.474
6.11,2.53,9.58,0.4,5.32,8.15,0.82,4.0,1.0,176.26,0.68,0.594,17,11,0.882,0.136,0.835,1.0,0.929,67.7,0.689
5.37,0.63,2.63,0.12,4.79,11.43,0.82,4.0,1.0,152.15,0.73,0.185,9,11,0.67,0.452,0.768,0.0,0.604,62.0,0.485
4.51,3.25,10.48,0.39,3.15,6.09,0.58,6.0,0.88,18.58,0.99,0.653,12,2,0.872,0.398,0.962,0.0,0.662,52.4,0.403
4.4,2.16,6.19,0.25,3.86,7.33,0.82,4.0,1.0,19.72,0.9,0.487,4,3,0.684,0.001,0.956,0.0,0.977,59.8,0.573
1.8,6.16,4.93,0.2,1.14,3.27,0.58,6.0,0.88,68.19,0.96,0.207,13,11,0.612,0.699,0.536,0.0,0.793,61.0,0.445
4.59,2.31,8.01,0.44,3.61,5.81,0.82,4.0,1.0,23.47,0.94,0.709,16,2,0.571,0.089,0.867,0.0,0.547,58.6,0.435
4.94,3.0,1.23,0.05,4.12,12.35,0.82,4.0,1.0,31.21,0.71,0.252,5,7,0.777,0.442,0.526,0.0,0.438,52.4,0.434
9.16,2.11,2.52,0.12,8.72,19.49,0.58,6.0,0.88,100.5,0.82,0.627,1,11,0.914,0.205,0.752,0.0,0.821,51.9,0.405
3.89,0.54,8.99,0.38,2.81,5.33,0.82,4.0,1.0,176.03,0.99,0.937,5,7,0.906,0.568,0.612,0.0,0.831,69.8,0.536
3.37,0.08,3.88,0.14,2.17,6.88,1.0,2.0,0.95,72.84,0.68,0.727,14,7,0.822,0.082,0.711,0.0,0.525,63.4,0.5
7.32,0.73,5.88,0.25,6.17,12.2,0.82,4.0,1.0,117.67,0.84,0.345,14,12,0.955,0.239,0.542,1.0,0.423,58.7,0.501
1.2,3.13,12.63,0.64,-0.5,1.21,0.82,4.0,1.0,95.09,0.9,0.735,6,6,0.517,0.781,0.556,0.0,0.836,49.7,0.349
5.14,1.77,17.55,0.72,3.75,4.8,0.58,6.0,0.88,92.92,0.57,0.866,6,6,0.533,0.773,0.919,0.0,0.494,49.1,0.308
1.61,1.06,6.89,0.35,0.22,2.3,1.0,2.0,0.95,154.63,0.8,0.918,14,4,0.621,0.416,0.818,1.0,0.87,75.4,0.602
1.27,1.78,17.67,0.64,0.32,1.28,1.0,2.0,0.95,84.79,0.68,0.853,11,2,0.743,0.008,0.516,1.0,0.816,70.7,0.647
11.48,6.84,13.18,0.56,9.99,12.62,0.35,8.0,0.55,28.8,0.97,0.073,18,6,0.787,0.693,0.406,1.0,0.351,34.9,0.438
1.3,3.52,4.29,0.19,0.81,2.41,0.58,6.0,0.88,179.46,0.87,0.138,8,9,0.669,0.896,0.666,0.0,0.716,62.4,0.445
1.18,5.02,7.83,0.28,0.45,1.87,0.35,8.0,0.55,48.46,0.69,0.811,11,6,0.69,0.234,0.947,0.0,0.841,63.9,0.47
3.56,1.42,2.17,0.1,2.56,7.91,0.82,4.0,1.0,82.44,0.76,0.86,3,3,0.878,0.304,0.809,0.0,0.485,70.5,0.463
7.27,1.77,0.88,0.04,6.28,18.64,0.82,4.0,1.0,32.95,0.98,0.862,18,12,0.742,0.095,0.459,0.0,0.427,55.8,0.489
1.28,3.63,6.7,0.28,0.2,2.03,0.82,4.0,1.0,105.65,0.67,0.822,1,2,0.555,0.646,0.869,0.0,0.92,74.9,0.506
5.2,0.16,16.63,0.74,3.59,4.77,1.0,2.0,0.95,90.31,0.72,0.455,12,4,0.931,0.275,0.659,0.0,0.372,55.7,0.402
4.91,5.83,8.62,0.46,3.87,6.06,0.58,6.0,0.88,76.62,0.84,0.807,8,11,0.977,0.544,0.411,1.0,0.843,55.7,0.549
4.19,5.0,5.79,0.28,3.64,6.65,0.35,8.0,0.55,108.29,0.56,0.82,9,1,0.879,0.472,0.607,0.0,0.964,55.0,0.476
5.23,5.23,13.27,0.52,3.65,6.01,0.58,6.0,0.88,104.47,0.99,0.419,6,3,0.575,0.318,0.828,1.0,0.926,49.9,0.571
4.38,0.87,17.78,0.66,3.05,4.34,0.82,4.0,1.0,57.01,0.77,0.136,8,10,0.566,0.526,0.4,0.0,0.858,49.9,0.382
0.89,1.02,12.68,0.65,-0.1,0.89,0.58,6.0,0.88,95.68,0.71,0.119,13,10,0.504,0.302,0.479,0.0,0.811,47.9,0.431
7.59,1.57,17.44,0.7,5.85,7.23,0.35,8.0,0.55,142.08,0.65,0.61,6,7,0.613,0.688,0.474,0.0,0.948,45.2,0.377
1.29,0.73,14.56,0.6,-0.1,1.36,1.0,2.0,0.95,20.53,0.77,0.365,3,4,0.634,0.32,0.769,0.0,0.868,47.5,0.443
4.44,1.79,4.49,0.24,3.73,7.53,0.58,6.0,0.88,21.23,0.55,0.417,14,3,0.919,0.493,0.62,1.0,0.414,53.3,0.547
